Ticker,ExpenseRatio
ACWI,0.31
AFK,0.78
AGG,0.05
BRF,0.59
CWB,0.40
CWI,0.30
DBA,0.91
DBC,0.87
DIA,0.16
EBND,0.30
EEM,0.70
EEMS,0.71
EFA,0.32
EIDO,0.59
EMLC,0.30
EPHE,0.59
EPOL,0.78
EPP,0.48
ERUS,0.59
EWJ,0.51
EWM,0.51
EWS,0.51
EWT,0.59
EWW,0.51
EWY,0.59
EWZ,0.59
EXI,0.46
EZA,0.59
FM,0.79
FXI,0.74
GAL,0.09
GDX,0.51
GDXJ,0.52
GLD,0.40
GMF,0.49
GSG,0.85
HYG,0.49
IAU,0.25
IBB,0.46
IDHQ,0.29
IDX,0.57
IEV,0.59
IFGL,0.48
IGOV,0.35
IJH,0.07
IJR,0.07
ILF,0.48
INKM,0.18
IOO,0.40
IVV,0.04
IWM,0.19
IXC,0.46
IXG,0.46
IXJ,0.46
IXN,0.46
IXP,0.46
IYR,0.42
JNK,0.40
JXI,0.46
KXI,0.46
LEMB,0.30
LQD,0.14
MOO,0.55
MXI,0.45
NLR,0.60
OIH,0.35
PBD,0.75
PXF,0.45
QQQ,0.20
REMX,0.57
RLY,0.08
RSX,0.60
RWR,0.25
RWX,0.59
RXI,0.46
SDY,0.35
SLV,0.50
SLX,0.55
SPY,0.09
THD,0.59
TIP,0.19
TOK,0.25
VB,0.05
VGK,0.08
VNM,0.60
VOO,0.03
VPL,0.08
VSS,0.11
VT,0.08
VTI,0.03
VWO,0.10
WOOD,0.46
DXJ,0.48
CXSE,0.32
IEMG,0.14
ELD,0.55
DHS,0.38
HEDJ,0.58
EPI,0.83
DEM,0.63
VIG,0.06
VWOB,0.25
VYM,0.06
DXJS,0.58
SRLN,0.70
MOAT,0.47
IHY,0.40
HYEM,0.40
HDV,0.08
OEF,0.20
DFJ,0.58
DFE,0.58
DEW,0.58
XLY,0.13
XLP,0.13
XLE,0.13
XLF,0.13
XLV,0.13
XLI,0.13
XLB,0.13
XLK,0.13
XLU,0.13
DRN,0.95
DRV,0.95
EDC,0.95
EDZ,0.95
FAS,0.94
FAZ,0.95
SPXL,0.95
SPXS,0.95
TMF,0.93
TMV,0.89
TNA,0.95
TZA,0.95
BNDX,0.08
VTV,0.04
VUG,0.04
BIV,0.05
BLV,0.05
BSV,0.05
EDV,0.07
IVOG,0.15
IVOO,0.10
IVOV,0.15
MGC,0.07
MGK,0.07
MGV,0.07
VAW,0.10
VBK,0.07
VBR,0.07
VCIT,0.05
VCLT,0.05
VCR,0.10
VCSH,0.05
VDC,0.10
VDE,0.10
VEA,0.05
VEU,0.08
VFH,0.10
VGIT,0.05
VGLT,0.05
VGSH,0.05
VGT,0.10
VHT,0.10
VIOG,0.15
VIOO,0.10
VIOV,0.15
VIS,0.10
VMBS,0.05
VO,0.04
VOE,0.07
VONE,0.08
VONG,0.08
VONV,0.08
VOOG,0.10
VOOV,0.10
VOT,0.07
VOX,0.10
VPU,0.10
VTHR,0.10
VTIP,0.05
VTWG,0.15
VTWO,0.10
VTWV,0.15
VV,0.04
VXF,0.06
VXUS,0.08
EWG,0.51
HEWJ,0.00
HEZU,0.03
CNXT,0.55
RSXJ,0.75
CHAD,0.80
CHAU,0.95
CURE,0.95
INDL,0.95
LABD,0.95
LABU,0.95
DUST,0.91
NUGT,0.90
RUSL,0.93
HACK,0.60
YYY,0.50
BBH,0.35
IGF,0.46
PPH,0.35
TLT,0.15
DGRE,0.32
DGS,0.63
EUDG,0.58
DLN,0.28
DON,0.38
DES,0.38
DGRW,0.28
DGRS,0.38
XLRE,0.13
AGGY,0.12
HYZD,0.43
PIO,0.75
DVY,0.39
EMB,0.39
IEF,0.15
SUSA,0.25
MBB,0.06
PFF,0.46
SHV,0.15
SHY,0.15
TUR,0.59
HEWG,0.02
SPEM,0.11
XSOE,0.32
SHE,0.20
ROBO,0.95
SPTM,0.03
SPLG,0.03
SPMD,0.05
SPSM,0.05
SPYG,0.04
SPYV,0.04
SPYD,0.07
SPDW,0.04
SPAB,0.04
SPSB,0.07
SPIB,0.07
SPLB,0.07
SPTS,0.06
SPTL,0.06
FEZ,0.29
SJNK,0.40
BWX,0.35
TOTL,0.55
BND,0.04
USIG,0.06
IGIB,0.06
IGSB,0.06
XLC,0.13
ICLN,0.46
ERX,0.95
ERY,0.95
TECL,0.95
TECS,0.95
SOXL,0.94
SOXS,0.95
YINN,0.95
YANG,0.95
CWEB,0.95
UBOT,0.95
BOTZ,0.68
CLOU,0.68
FINX,0.68
GLDM,0.18
SPTI,0.06
ALTY,0.75
MILN,0.50
SRET,0.58
KRMA,0.43
PFFD,0.23
QDIV,0.20
DIV,0.45
GNOM,0.56
GXTG,-0.12
HERO,0.50
QYLD,0.67
SDIV,0.59
GLIN,1.00
GLCN,0.60
BUG,0.50
EBIZ,0.50
AIQ,0.68
SOCL,0.65
FVD,0.70
HYLS,0.95
LMBS,0.65
QCLN,0.60
FDN,0.51
FPX,0.57
DRIP,0.95
GUSH,0.95
WEBL,0.95
WEBS,0.95
LIT,0.75
